未错开,错开一行
0.831021,0.9934786
0.8308276,0.99347997
0.83071774,0.9934762
0.8312874,0.9934778
0.831118,0.9934788
0.8309279,0.99348015
0.8308159,0.993481
0.8306069,0.993478
0.83126295,0.99347883
0.83102304,0.9934802
0.8309147,0.99348116
0.8307007,0.99348265
0.8313677,0.9934791
0.8311216,0.9934804
0.8310132,0.9934812
0.8308045,0.9934828
0.83146554,0.9934792
0.83121973,0.99348056
0.8311114,0.9934814
0.83090264,0.9934829
0.8307976,0.99347925
0.83135444,0.99348074
0.83119774,0.9934817
0.8309923,0.99348307
0.8308896,0.9934839
0.83146876,0.99348086
0.83130485,0.9934819
0.8311,0.9934833
0.8309957,0.9934842
0.8307946,0.993481
0.8314558,0.99348193
0.8311946,0.99348354
0.83109105,0.9934844
0.83089346,0.99348575
0.8307752,0.9934821
0.83134604,0.9934835
0.8311909,0.99348444
0.83099157,0.9934859
0.8308727,0.9934869
0.8314442,0.99348366
0.73706704,0.9896454
0.83577687,0.9907456
0.8306735,0.9919611
0.8307891,0.99339217
0.83142966,0.99395365
0.83117825,0.99349433
0.83106405,0.99348676
0.83087,0.99348825
0.8315304,0.9934846
0.83127654,0.9934861
0.8311623,0.99348694
0.8309687,0.9934883
0.83085674,0.9934847
0.83141387,0.99348617
0.83124834,0.9934871
0.83105797,0.9934885
0.8309466,0.99348944
0.8307377,0.99348646
0.8314087,0.9934873
0.8303802,0.99348867
0.83110625,0.9934895
0.8308418,0.9934911
0.83074266,0.99348736
0.83130145,0.9934933
0.8311499,0.9934897
0.830939,0.99349105
0.83084095,0.99349195
0.8175203,0.99348915
0.8314031,0.9934899
0.8171437,0.9934915
0.7381472,0.9896564
0.74317193,0.98589265
0.74270105,0.9830791
0.7425878,0.98330194
0.7424512,0.9845842
0.74231756,0.98434806
0.8239066,0.98985064
0.73769426,0.9888396
0.7431898,0.98683167
0.74269044,0.98379034
0.74258024,0.9832775
0.7424436,0.98458385
0.74231,0.9843476
0.7421763,0.98410803
0.7420427,0.9838648
0.7419089,0.9836181
0.74177533,0.9833676
0.74164164,0.98311365
0.74150795,0.9828559
0.74137425,0.9825945
0.7412405,0.9823291
0.74110687,0.9820597
0.74097323,0.98178667
0.7408396,0.9815096
0.7407059,0.9812286
0.74057215,0.9809434
0.7404385,0.980654
0.7403049,0.98036057
0.7401712,0.98006296
0.74003744,0.9797608
0.7399038,0.9794546
0.7397702,0.9791438
0.7396365,0.9788287
0.8223992,0.98734593
0.73774135,0.98735744
0.7431353,0.9860672
0.7426426,0.9834609
0.74253213,0.9833106
0.823044,0.99007016
0.73769563,0.98897475
0.7431349,0.9869008
0.74263906,0.98381793
0.7425286,0.9832946
0.7423921,0.98458135
0.7422584,0.98434514
0.74212474,0.98410535
0.74199116,0.9838621
0.74185747,0.98361534
0.74172384,0.9833649
0.74159014,0.98311085
0.74145645,0.98285306
0.74132276,0.98259157
0.74118906,0.9823262
0.7410554,0.9820568
0.7409218,0.98178375
0.7407881,0.9815065
0.74065447,0.9812253
0.82313377,0.9884122
0.7376559,0.9879734
0.7431033,0.9863795
0.7426071,0.9835923
0.7424967,0.9832901
0.82506657,0.99006885
0.73752594,0.9889735
0.74310845,0.9868991
0.74260324,0.9838156
0.74249357,0.9832427
