未错开,错开一行
0.939561388,0.99907184
0.938853079,0.999066919
0.942525891,0.999069007
0.941433706,0.999070313
0.940208059,0.999072075
0.939485953,0.999073184
0.938138451,0.999069268
0.942368253,0.999070352
0.940821463,0.99907214
0.940122954,0.999073393
0.938743215,0.999075338
0.943043616,0.999070704
0.941456916,0.999072401
0.940758021,0.999073445
0.939412453,0.999075534
0.943674427,0.999070835
0.942089597,0.99907261
0.941391153,0.999073707
0.940045199,0.999075665
0.939367966,0.9990709
0.942958124,0.999072845
0.94194782,0.999074098
0.94062327,0.999075887
0.939961125,0.99907697
0.943695188,0.999073002
0.942638398,0.999074359
0.941317653,0.999076187
0.940645192,0.999077362
0.939348624,0.999073184
0.94361163,0.999074398
0.941927575,0.9990765
0.941259949,0.999077623
0.939986012,0.999079385
0.939223545,0.99907462
0.942903966,0.999076448
0.94190372,0.999077675
0.940618564,0.999079581
0.939852164,0.999080886
0.94353684,0.999076657
0.335051731,0.994066291
0.971471196,0.995502464
0.938567847,0.997089146
0.939313164,0.998957228
0.943443095,0.999690169
0.94182216,0.999090585
0.94108587,0.999080703
0.939834756,0.999082648
0.944092604,0.999077884
0.942455873,0.999079842
0.941719325,0.999080938
0.940471112,0.999082714
0.939749264,0.999078014
0.943341291,0.999079933
0.942274057,0.999081147
0.94104667,0.999082975
0.940328625,0.999084202
0.938981768,0.999080312
0.943307958,0.999081408
0.936676831,0.999083197
0.941357949,0.99908428
0.93965294,0.999086369
0.939013747,0.999081487
0.942616477,0.99908924
0.941639377,0.999084541
0.940279625,0.999086303
0.93964746,0.999087478
0.853764211,0.999083823
0.943271853,0.999084802
0.851336129,0.999086891
0.34201593,0.994080651
0.374412257,0.989167549
0.371376316,0.985494814
0.370646151,0.985785703
0.369765439,0.987459532
0.368903812,0.987151281
0.894939093,0.994334206
0.339095655,0.993014421
0.374527472,0.990393321
0.37130791,0.986423248
0.370597409,0.9857538
0.369716439,0.987459075
0.36885507,0.987150681
0.367993055,0.986837952
0.367131686,0.986520446
0.366269027,0.98619841
0.365407851,0.985871414
0.364545901,0.985539914
0.363683951,0.985203454
0.362821937,0.984862229
0.3619596,0.984515783
0.361098037,0.984164115
0.36023641,0.983807709
0.359374847,0.983446029
0.358512833,0.983079219
0.357650496,0.982706926
0.356788804,0.982329151
0.355927435,0.981946115
0.35506542,0.981557623
0.354203019,0.981163191
0.353341392,0.980763485
0.352480022,0.980357775
0.351618008,0.979946451
0.885220317,0.991064623
0.339399262,0.991079648
0.37417609,0.989395402
0.370999467,0.985993205
0.370287225,0.985797008
0.889377586,0.994620762
0.339104488,0.993190842
0.374173511,0.990483562
0.370976643,0.986459263
0.370264466,0.985776122
0.369384399,0.987455812
0.368522385,0.987147469
0.367660629,0.986834454
0.366799388,0.986516921
0.365937438,0.986194807
0.365075875,0.985867889
0.364213861,0.985536259
0.363351911,0.985199747
0.362489961,0.984858405
0.361627947,0.984511997
0.360766191,0.98416033
0.359904821,0.983803897
0.359042807,0.983441982
0.358181244,0.983074911
0.889956367,0.992456504
0.338848333,0.991883706
0.373969774,0.98980307
0.370770585,0.986164732
0.370058795,0.985770247
0.902417857,0.994619052
0.338010432,0.993189211
0.374002978,0.990481343
0.370745698,0.986456222
0.370038615,0.985708373
0.369157838,0.987453527
0.368296082,0.987145133
0.367434713,0.986832117
0.366573085,0.986514702
0.365711071,0.986192536
0.364848347,0.98586554
